1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;;;;;;;;;;;;;;;;
Player;Team;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;15:00;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS;;;;;;;;;;;;;;;;;;;;;;;;;
Shai Gilgeous-Alexander;OKC;26;76;63;13;34,2;2485;859;1657;51,9;160;433;37,5;600;669;89,8;68;312;380;486;182;129;76;167;4112;6;0;12,1;122,4;105,7;16,7;29,9;2,66;18,7;2,5;11,2;6,9;7;56,9;63,7;33,6;101,91;19,9;5514;;;;;;;;;;;;;;;;;;;;;;;;;
Anthony Edwards;MIN;23;79;48;31;36,3;2180;719;1612;44,7;324;814;39,5;419;498;83,7;63;387;450;356;253;95;47;150;3429;7;0;3,7;116,2;111,4;4,8;20,9;1,44;14,8;2,1;13,1;7,7;10,3;54,7;59,5;30,7;98,27;14;5883;;;;;;;;;;;;;;;;;;;;;;;;;
Nikola Jokić;DEN;30;70;46;24;36,7;2072;784;1365;57,6;140;329;41,7;364;448;80;203;693;889;714;231;126;42;161;4501;59;34;8,5;125,6;115,1;10,5;39,8;3,11;28,7;8,3;25,2;17,3;9,2;62,7;66,3;28,5;101,99;20,6;5471;;;;;;;;;;;;;;;;;;;;;;;;;
Giannis Antetokounmpo;MIL;30;67;40;27;34,2;2037;791;1320;60,1;13;60;22,2;436;710;61,7;147;650;797;436;208;60;80;154;3846;55;11;5;118,9;111,7;7,2;33,9;2,1;19,2;6,7;26,6;17,2;9,1;60,7;62,5;34,6;100,18;21;4772;;;;;;;;;;;;;;;;;;;;;;;;;
Jayson Tatum;BOS;27;72;53;19;36,4;1930;662;1462;45,2;252;727;34,3;360;439;81,4;50;576;626;432;209;79;36;158;3456;31;2;7,4;119,6;109,8;9,8;26,6;2,6;18,9;1,7;20,6;11,2;9,2;53,7;58,2;30,1;98,14;15,8;5368;;;;;;;;;;;;;;;;;;;;;;;;;
Devin Booker;PHX;28;75;35;40;37,3;1920;653;1418;46,1;180;548;33,2;435;480;89,4;75;233;308;533;218;68;15;195;3113;16;0;-2,4;115,3;118,5;-3,2;30,1;2,4;22,4;2,8;8;5,5;9,3;52,5;58,9;28,5;98,72;12,2;5752;;;;;;;;;;;;;;;;;;;;;;;;;
Tyler Herro;MIA;25;77;37;40;35,4;1840;655;1378;47,2;254;670;37,5;285;323;87,8;39;362;400;424;200;69;15;85;3018;9;0;1,3;113,9;112,6;1,3;25,4;2,14;20;1,3;13,2;7,3;9,3;56,3;60,5;27,1;97,78;13,9;5564;;;;;;;;;;;;;;;;;;;;;;;;;
Trae Young;ATL;26;76;36;40;36;1839;562;1376;41,1;220;638;34;494;562;87,5;38;198;236;882;357;91;15;144;3397;51;0;0,4;115,2;114,6;0,6;45,2;2,48;30,9;1,2;7,2;4,2;12,5;49,1;56,7;28,5;105,51;12,9;6020;;;;;;;;;;;;;;;;;;;;;;;;;
Cade Cunningham;DET;23;70;38;32;35;1827;686;1456;46,9;147;420;35,6;315;371;84,6;56;371;427;637;308;70;56;196;3360;31;9;2,5;115;112,2;2,8;40,9;2,06;25;2,3;14,7;8,6;12,1;52,1;56,5;32,3;101,57;15,2;5201;;;;;;;;;;;;;;;;;;;;;;;;;
James Harden;LAC;35;79;50;29;35,3;1801;529;1296;41;237;672;35,2;506;577;87,4;55;403;458;687;340;119;55;166;3555;38;3;4,4;115,4;109,2;6,2;36,5;2,01;26,9;2;14,3;8,3;13,4;50,1;58,2;28,6;98,82;14,5;5737;;;;;;;;;;;;;;;;;;;;;;;;;
Karl-Anthony Towns;NYK;29;72;46;26;35;1757;641;1217;52,6;144;338;42;338;410;82,9;209;706;922;223;194;72;50;252;3370;58;1;5,3;119,4;112,7;6,8;13;1,16;12,4;8,7;28,4;18,7;10,7;58,4;63;26,5;99,25;16,1;5215;;;;;;;;;;;;;;;;;;;;;;;;;
Zach LaVine;SAC;30;74;32;42;35,2;1724;622;1221;51,1;237;533;44,6;237;289;82,5;22;296;318;311;207;59;15;118;2568;6;0;-0,9;115,4;116,8;-1,4;17,8;1,49;16,7;0,9;10,7;5,9;11,2;60,9;63,9;25,1;101,28;11,5;5493;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Green;HOU;23;82;52;30;32,9;1722;607;1435;42,3;238;664;35,4;271;336;81,3;41;328;377;279;205;74;25;123;2690;4;0;2;113,8;111,1;2,8;15,9;1,39;13,7;1,5;12;6,5;9,9;50,5;54,4;26,7;99,75;11,1;5610;;;;;;;;;;;;;;;;;;;;;;;;;
Stephen Curry;GSW;37;70;41;29;32,2;1715;567;1260;44,8;308;784;39,7;280;301;93,3;42;273;308;420;203;77;28;98;2849;9;0;4,3;118,4;112,7;5,7;28,4;2,11;21,1;1,7;11,8;6,6;10;57,2;61,8;28,6;101,72;14,5;4785;;;;;;;;;;;;;;;;;;;;;;;;;
DeMar DeRozan;SAC;35;77;38;39;35,9;1709;624;1309;47,7;85;254;32,8;377;439;85,7;46;246;300;339;108;62;31;146;2757;3;0;1,4;116,8;115,3;1,5;18,2;3,26;17,7;1,8;9;5,4;5,4;50,9;56,9;24,4;99,35;11,2;5740;;;;;;;;;;;;;;;;;;;;;;;;;
LeBron James;LAL;40;70;44;26;34,9;1708;651;1267;51,3;147;399;37,6;259;329;78,2;70;476;546;574;259;70;42;98;3297;32;10;-0,8;112,7;114;-1,3;39,5;2,21;25,6;3,1;18,7;11,2;11,6;57,1;60,4;29,1;100,62;16,9;5129;;;;;;;;;;;;;;;;;;;;;;;;;
Donovan Mitchell;CLE;28;71;55;16;31,4;1704;582;1321;44,3;234;632;36,8;298;362;82,3;57;263;320;355;149;92;14;142;2805;6;0;7,4;119,7;109,1;10,5;23,8;2,38;18;2,5;11,2;6,9;7,6;53,1;57,5;29,8;102,21;13,7;4762;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Brunson;NYK;28;65;40;25;35,4;1690;585;1203;48,8;150;397;38,3;371;449;82,1;26;163;189;475;163;59;7;137;2665;14;0;2,2;118,3;115,7;2,6;31,8;2,9;23,5;1,2;7,2;4,2;8,1;55,1;60,5;28,9;97,79;13,8;4697;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Durant;PHX;36;62;33;29;36,5;1649;589;1122;52,7;161;372;43;304;360;83,9;25;353;372;260;192;50;74;105;2678;5;0;-0,6;116,5;117,4;-1;18,8;1,38;15,2;1,1;14,7;8,4;11;59,8;64,2;28,3;99,49;14,2;4697;;;;;;;;;;;;;;;;;;;;;;;;;
